Title,Artist,ConstituentID,Nationality,Gender,Date,Classification,Department,ObjectID,URL,ThumbnailURL
"Manville Corporation World Headquarters, Littleton, Colorado",Joel Sternfeld,5656,American,Male,1980,Photograph,Photography,82429,http://www.moma.org/collection/works/82429,http://www.moma.org/media/W1siZiIsIjM4NDE5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f1e7a92484b8ef4f
"Near Vail, Colorado",Joel Sternfeld,5656,American,Male,1980,Photograph,Photography,82430,http://www.moma.org/collection/works/82430,http://www.moma.org/media/W1siZiIsIjM3NDYxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=37aba5371f4d8dff
"Gatlinburg, Tennessee",Joel Sternfeld,5656,American,Male,1980,Photograph,Photography,82431,http://www.moma.org/collection/works/82431,http://www.moma.org/media/W1siZiIsIjM4NDE5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=39ce7122fc9c8c6d
"Near Interlochen, Michigan",Joel Sternfeld,5656,American,Male,1981,Photograph,Photography,82432,http://www.moma.org/collection/works/82432,http://www.moma.org/media/W1siZiIsIjM3NDYyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0434379303bb3fff
"Coeburn, Virginia",Joel Sternfeld,5656,American,Male,1981,Photograph,Photography,82433,http://www.moma.org/collection/works/82433,http://www.moma.org/media/W1siZiIsIjM3NDYyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aebc9b7ec1c4fa6f
"Studio City, California",Joel Sternfeld,5656,American,Male,1982,Photograph,Photography,82434,http://www.moma.org/collection/works/82434,http://www.moma.org/media/W1siZiIsIjM3NDYyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=62b3d01ef819668e
"Abandoned Uranium Refinery near Tuba City, Arizona, Navajo Nation",Joel Sternfeld,5656,American,Male,1982,Photograph,Photography,82435,http://www.moma.org/collection/works/82435,http://www.moma.org/media/W1siZiIsIjM4NDIwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0f53d15e75395997
"Cerrillos, New Mexico",Joel Sternfeld,5656,American,Male,1982,Photograph,Photography,82436,http://www.moma.org/collection/works/82436,http://www.moma.org/media/W1siZiIsIjM4NDIwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d9a9ac5181fe0931
"Lake Powell, Arizona",Joel Sternfeld,5656,American,Male,1982,Photograph,Photography,82437,http://www.moma.org/collection/works/82437,http://www.moma.org/media/W1siZiIsIjM3NDYyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=98bf5747e18f2442
"Lone Horse, Paige, Arizona",Joel Sternfeld,5656,American,Male,1982,Photograph,Photography,82438,http://www.moma.org/collection/works/82438,http://www.moma.org/media/W1siZiIsIjM4ODUzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=139616eb5bea6d16
"Red Rock State Campground, Gallup, New Mexico",Joel Sternfeld,5656,American,Male,1982,Photograph,Photography,82439,http://www.moma.org/collection/works/82439,http://www.moma.org/media/W1siZiIsIjM3NDYyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5573464ea554a89e
"Potato Harvest, Aroostook County, Maine",Joel Sternfeld,5656,American,Male,1982,Photograph,Photography,82440,http://www.moma.org/collection/works/82440,http://www.moma.org/media/W1siZiIsIjM3NDYyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3ca9fb7037d8119b
"Palmerton, Pennsylvania",Joel Sternfeld,5656,American,Male,1982,Photograph,Photography,82441,http://www.moma.org/collection/works/82441,http://www.moma.org/media/W1siZiIsIjM4ODU2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a5e55c01cf6791d4
"Prince Manufacturing, Bowmanstown, Pennsylvania",Joel Sternfeld,5656,American,Male,1982,Photograph,Photography,82442,http://www.moma.org/collection/works/82442,http://www.moma.org/media/W1siZiIsIjM3NDYyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a3770ef6af508f19
"Member of the Christ Family Religious Sect, Hidalgo County, Texas",Joel Sternfeld,5656,American,Male,1983,Photograph,Photography,82444,http://www.moma.org/collection/works/82444,http://www.moma.org/media/W1siZiIsIjM3NDYyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=179d7c365b1f8302
"Tent City, Houston, Texas",Joel Sternfeld,5656,American,Male,1983,Photograph,Photography,82445,http://www.moma.org/collection/works/82445,http://www.moma.org/media/W1siZiIsIjM3NDYyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b5520a4ef1189abc
